year,primaryTitle,tconst,numVotes,colors_json
1894,Miss Jerry,tt0000009,228,"[""Black and White""]"
1896,Birmingham,tt2210499,24,"[""Black and White""]"
1897,The Corbett-Fitzsimmons Fight,tt0000147,564,"[""Black and White""]"
1897,Reproduction of the Corbett and Fitzsimmons Fight,tt0229676,68,"[""Black and White""]"
1898,Dressing Paper Dolls,tt0235357,28,"[""Black and White""]"
1898,69th Regiment Passing in Review,tt0236940,25,"[""Black and White""]"
1898,Saída dos Operários do Arsenal da Marinha,tt0138774,12,"[""Black and White""]"
1898,A Rua Augusta em Dia de Festa,tt0138759,11,"[""Black and White""]"
1899,Jeffries-Sharkey Contest,tt0230366,84,"[""Black and White""]"
1899,Sharkey-McCoy Fight Reproduced in 10 Rounds,tt0230765,37,"[""Black and White""]"
1899,"2nd Company Governor's Footguards, Conn.",tt0257347,26,"[""Black and White""]"
1900,The Republican National Convention,tt0266894,47,"[""Black and White""]"
1900,"Birdseye View of Galveston, Showing Wreckage",tt0266332,25,"[""Black and White""]"
1900,At Break-Neck Speed,tt0327448,25,"[""Black and White""]"
1900,May Day Parade,tt0291338,24,"[""Black and White""]"
1900,Solser en Hesse,tt19595898,12,"[""Black and White""]"
1901,"Jeffries and Ruhlin Sparring Contest at San Francisco, Cal., November 15, 1901",tt0231818,43,"[""Black and White""]"
1901,Anna Held,tt0352173,31,"[""Black and White""]"
1901,"Fourth Avenue, Louisville",tt0231613,23,"[""Black and White""]"
1901,"Sixth U.S. Cavalry, Skirmish Line",tt0344345,17,"[""Black and White""]"
1902,Tossing Eggs,tt0337320,80,"[""Black and White""]"
1903,The Life and Passion of Jesus Christ,tt0127962,795,"[""Color"", ""Black and White""]"
1903,Prinsesse Marie til hest,tt0420843,18,"[""Black and White""]"
1903,S. Lubin's Passion Play,tt11166772,13,"[""Black and White""]"
1904,Westinghouse Works,tt0178983,378,"[""Black and White""]"
1905,Dingjun Mountain,tt0284043,55,"[""Black and White""]"
1905,La malia dell'oro,tt0388231,37,"[""Black and White""]"
1905,Images de Chine,tt14006802,37,"[""Black and White""]"
1905,Halfaouine,tt2375424,35,[]
1905,Eine Fliegenjagd oder Die Rache der Frau Schultze,tt0295963,35,"[""Black and White""]"
1905,Valsons,tt1325665,31,"[""Black and White""]"
1905,Ensalada criolla,tt0279067,28,"[""Black and White""]"
1905,Bohemios,tt0000502,22,"[""Black and White""]"
1906,The Story of the Kelly Gang,tt0000574,1012,"[""Black and White""]"
1906,The Joe Gans-Battling Nelson Fight,tt0319604,67,"[""Black and White""]"
1906,Lika mot lika,tt0184672,32,"[""Black and White""]"
1906,Highlights from The Mikado,tt0351055,29,"[""Black and White""]"
1906,Krybskytten,tt0365417,24,"[""Black and White""]"
1906,Cavalleria infernale,tt0161413,23,"[""Black and White""]"
1906,"Gans-Nelson Contest, Goldfield Nevada, September 3, 1906",tt0233775,23,"[""Black and White""]"
1906,Sønnens hævn,tt0365816,21,"[""Black and White""]"
1906,1906 French Grand Prix,tt9005980,10,[]
1907,Life and Passion of Christ,tt1799590,107,"[""Black and White""]"
1907,El grito de Dolores o La independencia de México,tt0280714,42,"[""Black and White""]"
1907,Why Girls Leave Home,tt0255698,36,"[""Black and White""]"
1907,The Prodigal Son,tt0000591,34,"[""Black and White""]"
1907,Robbery Under Arms,tt0000615,30,"[""Black and White""]"
1907,Faust,tt0488116,26,"[""Black and White""]"
1907,Mister Wiskey,tt0279232,26,"[""Black and White""]"
1907,Balett ur op. Mignon/Jössehäradspolska,tt0212794,25,"[""Black and White""]"
1907,Belles of Killarney,tt1735401,22,"[""Black and White""]"
1907,"Dejá é jugar, ché, ché",tt0279038,21,"[""Black and White""]"
1907,Violante,tt0176294,20,"[""Black and White""]"
1907,Los tocayos,tt0279471,19,"[""Black and White""]"
1907,Robbery Under Arms,tt32879833,7,"[""Black and White""]"
1908,The Fairylogue and Radio-Plays,tt0000679,80,"[""Color""]"
1908,Hamlet,tt0000630,34,"[""Black and White""]"
1908,La neuropatologia,tt1569450,33,"[""Black and White""]"
1908,Hiawatha,tt0255217,29,"[""Black and White""]"
1908,Gans-Nelson Fight,tt1914260,25,"[""Black and White""]"
1908,Don Quijote,tt0000675,24,"[""Black and White""]"
1908,Taikôki jûdanme,tt0343060,22,"[""Black and White""]"
1908,Resa Stockholm-Göteborg genom Göta och Trollhätte kanaler,tt0228779,22,"[""Black and White""]"
1908,I promessi sposi,tt0196022,20,"[""Black and White""]"
1908,Los carreros,tt0279006,20,"[""Black and White""]"
1908,Le devoir,tt0489951,19,"[""Black and White""]"
1908,Soga kyodai kariba no akebono,tt0324010,16,"[""Black and White""]"
1908,Poum à la chasse,tt0949496,15,"[""Black and White""]"
1908,L'uomo dalla testa dura,tt0168234,15,"[""Black and White""]"
1909,The Life of Moses,tt0001285,67,"[""Black and White""]"
1909,Locura de amor,tt0000941,33,"[""Black and White""]"
1909,België,tt0273112,29,"[""Black and White""]"
1909,Sonho de Valsa,tt0186564,27,"[""Black and White""]"
1909,World's Heavyweight Championship Between Tommy Burns and Jack Johnson,tt4310922,25,"[""Black and White""]"
1909,Salome Mad,tt0001028,25,"[""Black and White""]"
1909,Pega na Chaleira,tt0331315,24,"[""Black and White""]"
1909,I tre moschettieri,tt0211675,24,"[""Black and White""]"
1909,A Viúva Alegre,tt0186678,22,"[""Black and White""]"
1909,Um Cavalheiro Deveras Obsequioso,tt0332456,22,"[""Black and White""]"
1909,Gøngehøvdingen,tt0001049,22,"[""Black and White""]"
1909,Marin Faliero doge di Venezia,tt0382174,21,"[""Black and White""]"
1909,"Les heures - Épisode 4: Le soir, la nuit",tt0757218,21,"[""Black and White""]"
1909,Höstfröjd i Friesens park,tt0228412,21,"[""Black and White""]"
1909,"Les heures - Épisode 2: Le matin, le jour",tt0757216,20,"[""Black and White""]"
1909,Le miroir hypnotique,tt0757275,20,"[""Black and White""]"
1909,Cochero de tranvía,tt0279023,20,"[""Black and White""]"
1909,Faldgruben,tt0000862,20,"[""Black and White""]"
1909,Berikaoba-Keenoba,tt0475064,20,"[""Black and White""]"
1909,Das Glückshufeisen,tt1258707,20,"[""Black and White""]"
1909,Raffaello Sanzio e la fornarina,tt0197799,19,"[""Black and White""]"
1909,The Wayward Daughter,tt0255693,19,"[""Black and White""]"
1909,Matelot,tt0757267,18,"[""Black and White""]"
1909,Kodomo no jitensha,tt2221717,18,"[""Black and White""]"
1909,Protección de un convoy de víveres en el puente de camellos,tt0001010,18,"[""Black and White""]"
1909,The Scottish Covenanters,tt0189984,17,"[""Black and White""]"
1909,Yamato zakura,tt0324611,17,"[""Black and White""]"
1909,Heroes of the Cross,tt0189574,16,"[""Black and White""]"
1909,La princesse d'Ys,tt0757302,16,"[""Black and White""]"
1909,Le voile des nymphes,tt0757368,16,"[""Black and White""]"
1909,Hidaka iriai zakura,tt11441032,16,"[""Black and White""]"
1909,Avelino Viamonte,tt0199344,15,"[""Black and White""]"
1909,Facundo Quiroga,tt0199508,15,"[""Black and White""]"
1909,Le fou,tt0757200,15,"[""Black and White""]"
1909,Un premier amour,tt0757355,15,"[""Black and White""]"
1909,Une femme pour deux maris,tt0757356,15,"[""Black and White""]"
1909,Yuzu no tsuyu,tt2215793,15,"[""Black and White""]"
1909,De Garraf a Barcelona,tt0000842,15,"[""Black and White""]"
1909,La Chicanera,tt1705881,14,"[""Black and White""]"
1909,Resurrection,tt0256324,14,"[""Black and White""]"
1909,A Cultura do Cacau,tt0000838,14,"[""Black and White""]"
1909,Un día en Xochimilco,tt0000846,14,"[""Black and White""]"
1909,Suzuki mondô,tt4073476,11,"[""Black and White""]"
1910,"Jeffries-Johnson World's Championship Boxing Contest, Held at Reno, Nevada, July 4, 1910",tt0233985,156,"[""Black and White""]"
